coluna1,coluna2
0.001355399,0.012656162
0.082420282,0.496994586
0.074497484,0.108187021
0.064510143,0.371040485
0.038110418,0.470236965
0.067257558,0.460149165
0.023005571,0.461032837
0.075373192,0.012519861
0.070697516,0.014511353
0.086570249,0.017141685
0.075949884,0.298280197
0.018231237,0.096744434
0.064456075,0.471207527
0.085972766,0.012534612
0.019560692,0.353056998
0.003906668,0.452893374
0.062385057,0.231096489
0.008254217,0.232254195
0.015863024,0.391712861
0.006267218,0.441145651
0.071097044,0.407911207
0.090819598,0.456983996
0.037442974,0.170159981
0.092522466,0.355031494
0.046859445,0.395109294
0.021503839,0.422035932
0.086528257,0.097032599
0.05843479,0.267276987
0.081089029,0.431182765
0.079537533,0.289439926
0.026487035,0.447781539
0.023779644,0.256037494
0.064892734,0.00181409
0.066680157,0.32470734
0.072354198,0.148611066
0.040225132,0.40081519
0.074990671,0.091771178
0.079954045,0.360354567
0.054015735,0.143451709
0.008572314,0.061080329
0.052724462,0.207493039
0.027190441,0.46620986
0.050201617,0.008657333
0.008274697,0.264837556
0.033702232,0.325866507
0.081768324,0.004785962
0.094429204,0.441395142
0.059855818,0.284769915
0.002740202,0.061805136
0.0819007,0.440541978
0.096653828,0.475404888
0.046130412,0.267036159
0.069632162,0.193603514
0.008304333,0.381633146
0.08951538,0.031627006
0.089702734,0.455152279
0.076451387,0.006689039
0.082213723,0.045235262
0.029571486,0.181421929
0.045053361,0.155116934
0.039810132,0.359331453
0.073631903,0.398027086
0.065478863,0.494821235
0.043109065,0.434127736
0.068860971,0.104550348
0.053781073,0.278175099
0.061030549,0.245222739
0.009434784,0.438349396
0.088278789,0.233936208
0.026342375,0.286007058
0.006438698,0.469556244
0.092848927,0.280336549
0.021744235,0.190637382
0.061473266,0.38944544
0.055481208,0.327788173
0.083906112,0.200260739
0.045605194,0.326177199
0.067038118,0.357911423
0.016522901,0.402894868
0.062437105,0.257437583
0.098155808,0.177226734
0.019754411,0.384274772
0.027181855,0.461645604
0.039438208,0.040040215
0.026598045,0.397349831
0.005813166,0.296640742
1.71885E-05,0.079658336
0.060176237,0.178746911
0.073021272,0.267511735
0.082005316,0.3813429
0.067025411,0.151147356
0.049476032,0.471035938
0.073898815,0.446125694
0.041547852,0.177328372
0.016176639,0.187042087
0.090737686,0.006533658
0.091779456,0.291103521
0.035275462,0.047009074
0.019025077,0.002089508
0.007589186,0.053740457
0.004278247,0.337057491
0.080002302,0.212353005
0.093634962,0.298896643
0.052373595,0.054238983
0.052306795,0.37148253
0.001247328,0.271170989
0.004793737,0.230644257
0.070772235,0.206486255
0.093140512,0.185668481
0.063087921,0.340780489
0.0693362,0.066143326
0.046099169,0.14542631
0.027650131,0.372860611
0.059661768,0.150469017
0.041550608,0.018204152
0.033831948,0.101413419
0.049443256,0.082775419
0.097390741,0.353185677
0.003176957,0.281871294
0.03513638,0.206774292
0.084405195,0.488071195
0.005770263,0.168821296
0.036395813,0.340006699
0.033152944,0.42770431
0.06319266,0.012700943
0.005176364,0.112377634
0.003796753,0.29996308
0.020518533,0.29045852
0.022994526,0.006119573
0.01942343,0.387692175
0.038525539,0.465042466
0.032882677,0.255915788
0.021278676,0.445412619
0.071222273,0.116866757
0.015935716,0.13270632
0.059692739,0.050053978
0.047781777,0.206438665
0.062525055,0.122769815
0.046496874,0.496198922
0.03392174,0.001316334
0.038558022,0.021555398
0.005771521,0.270191517
0.019968222,0.205044619
0.06464946,0.227493107
0.004031173,0.401624558
0.023450855,0.400265399
0.037187925,0.341812947
0.0907358,0.497258427
0.015499664,0.170443474
0.016095291,0.087339895
0.043062062,0.490396088
0.022461342,0.132608119
0.078079977,0.461830216
0.053059745,0.32878789
0.024716111,0.32935251
0.073709694,0.024243717
0.009676227,0.078186522
0.092472137,0.282069771
0.083135319,0.257992468
0.097199726,0.366155416
0.096507719,0.293273931
0.063277539,0.038570961
